topic,ele_code,ele_amount
13,7261,1147210.24
13,1668,1822737.7
13,1997,3630484.8
13,7980,4263040.29
13,7172,12796847.8
14,055Y,1232.11
14,1998,1232.11
14,7645,11753.17
14,7959,14742.5
14,062Y,27415.12
14,7259,27415.12
14,8624,29273.14
14,7699,42477.83
14,7275,54711.23
14,107Y,60371.52
14,1536,63510.92
14,7412,65125.71
14,104Y,67330.86
14,154Y,133534.37
14,125Y,134385.59
14,162Y,143877
14,9150,195167.3
14,1253,231543.62
14,8060,694516.36
14,7980,1028380.18
14,7261,1655332.46
14,1668,2227382.05
14,1997,7502359.09
14,7172,20777190.56
15,055Y,3696.32
15,1998,3696.32
15,062Y,5874.67
15,7259,5874.67
15,7645,11753.17
15,125Y,13666.33
15,7275,18237.08
15,1253,20134.23
15,8624,25528.74
15,9150,27523.58
15,7699,29203.51
15,7959,35382
15,154Y,40905.99
15,107Y,51083.59
15,104Y,60339.9
15,1536,78539.14
15,7412,84998.31
15,162Y,204454.87
15,7980,707232.62
15,7261,1265029.69
15,8060,1562369.82
15,1668,2582616.91
15,1997,3325184.41
15,7172,16589032.67
16,055Y,1642.81
16,1998,1642.81
16,062Y,9791.11
16,7259,9791.11
16,1253,15100.67
16,7645,15670.89
16,107Y,18575.85
16,1536,30653.18
16,104Y,30835.96
16,7275,31914.88
16,154Y,32626.54
16,7412,34690.16
16,8624,46616.56
16,7699,50442.42
16,7959,61918.5
16,125Y,68331.65
16,9150,116112.63
16,162Y,224104.21
16,8060,659737.44
16,1668,1657035.26
16,7980,1705169.85
16,7261,2165791.65
16,1997,7285433.73
16,7172,16589032.67
17,055Y,821.41
17,1998,821.41
17,7699,5309.73
17,7959,5897
17,125Y,6833.17
17,7645,11753.17
17,107Y,13931.89
17,1536,31415.66
17,7412,33030.45
17,062Y,33289.78
17,7259,33289.78
17,1253,35234.9
17,154Y,38390.13
17,7275,45592.69
17,104Y,73128.04
17,9150,111736.79
17,162Y,212182.72
17,8624,466436.72
17,8060,683130.7
17,1668,1271381.56
17,7980,1335453.84
17,7261,1785501.13
17,1997,5828123.08
17,7172,8728597.83
18,055Y,2053.51
18,1998,2053.51
18,125Y,9110.89
18,1253,10067.11
18,062Y,13707.56
18,7259,13707.56
18,7645,15670.89
18,8624,22744.16
18,7959,26536.5
18,7275,31914.88
18,7699,58407.02
18,1536,90386.99
18,7412,95231.37
18,154Y,120471.65
18,9150,121883.64
18,107Y,199690.4
18,104Y,212361.75
18,162Y,217535.9
18,8060,735325.17
18,7980,1333564.67
18,7261,1352889.53
18,1668,2810636.72
18,1997,4524031.76
18,7172,8650519.51
19,055Y,2464.22
19,1998,2464.22
19,7699,7964.59
19,125Y,9110.89
19,062Y,15665.78
19,7259,15665.78
19,7959,17691
19,7645,19588.61
19,107Y,23219.81
19,8624,23760.3
19,1536,31249.92
19,1253,35234.9
19,7412,42553.47
19,7275,50151.96
19,154Y,54777.31
19,9150,63374.46
19,104Y,85103.93
19,162Y,120831.69
19,8060,679674.43
19,7980,914694.83
19,7261,1291416.37
19,1668,2242989.57
19,1997,4350673.09
19,7172,20895238.19
20,055Y,1642.81
20,1998,1642.81
20,062Y,3916.45
20,7259,3916.45
20,7645,3917.72
20,7699,7964.59
20,125Y,13666.33
20,7959,14742.5
20,8624,24927.63
20,7275,31914.88
20,1536,41284.59
20,7412,55817.72
20,107Y,60371.52
20,9150,75958.82
20,154Y,78857.36
20,1253,120805.37
20,104Y,156436.41
20,162Y,186820.2
20,8060,616353.72
20,7980,880468.68
20,7261,1277590.63
20,1668,3331237.98
20,1997,5096014.86
20,7172,20775330.27
21,055Y,821.41
21,1998,821.41
21,062Y,5874.67
21,7259,5874.67
21,125Y,6833.17
21,7645,7835.45
21,7699,7964.59
21,7959,11794
21,7275,13677.81
21,8624,17818.49
21,107Y,23219.81
21,1536,34931.83
21,1253,35234.9
21,7412,37354.02
21,154Y,43934.5
21,162Y,72112.43
21,104Y,105765.14
21,9150,203804.58
21,7980,474132.52
21,8060,987076.28
21,7261,1609602.31
21,1668,1621961.64
21,1997,5561898.26
21,7172,8452533.26
22,055Y,4107.03
22,1998,4107.03
22,7645,9794.31
22,7699,13274.32
22,062Y,13707.56
22,7259,13707.56
22,8624,18785.27
22,7275,22796.34
22,125Y,36443.55
