topic,ele_code,freq,name,long_name
4,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
4,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
4,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
4,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
4,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
4,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
4,7261,53,Project & Program Evaluation,Project & Program Evaluation
4,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
4,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
4,1997,121,NRT,NSF Research Traineeship (NRT)
5,055Y,1,CISE Education and Workforce,CISE Education and Workforce
5,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
5,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
5,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
5,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
5,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
5,7645,1,Discovery Research K-12,Discovery Research K-12
5,125Y,1,Science of Science,Science of Science
5,7275,1,Cross-EF Activities,Cross-EF Activities
5,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
5,7259,1,AISL,Advencing Informal STEM Learning
5,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
5,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
5,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
5,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
5,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
5,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
5,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
5,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
5,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
5,7261,53,Project & Program Evaluation,Project & Program Evaluation
5,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
5,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
5,1997,121,NRT,NSF Research Traineeship (NRT)
6,055Y,1,CISE Education and Workforce,CISE Education and Workforce
6,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
6,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
6,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
6,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
6,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
6,7645,1,Discovery Research K-12,Discovery Research K-12
6,125Y,1,Science of Science,Science of Science
6,7275,1,Cross-EF Activities,Cross-EF Activities
6,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
6,7259,1,AISL,Advencing Informal STEM Learning
6,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
6,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
6,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
6,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
6,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
6,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
6,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
6,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
6,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
6,7261,53,Project & Program Evaluation,Project & Program Evaluation
6,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
6,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
6,1997,121,NRT,NSF Research Traineeship (NRT)
7,055Y,1,CISE Education and Workforce,CISE Education and Workforce
7,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
7,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
