document,topic,gamma
2100355,11,0.156804734
1760993,11,0.167808219
2121898,11,0.181818182
1920560,11,0.189320388
2048018,11,0.191011236
1760894,11,0.191489362
2000388,11,0.200589971
2054920,11,0.201388889
1761249,11,0.217791411
2100139,11,0.218430034
2100343,11,0.231292517
2000865,11,0.234875445
1920550,11,0.240549828
1846321,11,0.24137931
2017950,11,0.245614035
2125483,11,0.248888889
2037360,11,0.284552846
1937490,11,0.285714286
2023234,11,0.294642857
2024020,11,0.325878594
2126023,11,0.331983806
2025162,11,0.334405145
1953525,11,0.334710744
2000750,11,0.355491329
2025257,11,0.377419355
2025046,11,0.395939086
2126059,11,0.397887324
1937778,11,0.398230088
2024584,11,0.408163265
2114660,11,0.41955836
1949922,11,0.420849421
2025349,11,0.431438127
2125940,11,0.441358025
2112689,11,0.445993031
2100155,11,0.45482866
1937738,11,0.468013468
1937714,11,0.483636364
2126031,11,0.493377483
1842678,12,0.101694915
1919004,12,0.102678571
1821766,12,0.104166667
1947295,12,0.121019108
2041960,12,0.121813031
1821788,12,0.128342246
2028397,12,0.134328358
2054968,12,0.137380192
2037658,12,0.152941176
2039610,12,0.159863946
2105801,12,0.169934641
1821780,12,0.1796875
2114200,12,0.181494662
2113981,12,0.182142857
1821829,12,0.195979899
1820573,12,0.210144928
1820666,12,0.210970464
1821841,12,0.225641026
1821744,12,0.23857868
1907537,12,0.266393443
1954259,12,0.266666667
1912753,12,0.274881517
2029632,12,0.281609195
2104532,12,0.281786942
1854494,12,0.283261803
1821560,12,0.28708134
1931800,12,0.293877551
1820685,12,0.310861423
1844136,12,0.327586207
1820640,12,0.330357143
1915780,12,0.418032787
1956193,12,0.441747573
1920529,13,0.103448276
2024584,13,0.108843537
1943041,13,0.117886179
2031066,13,0.11827957
2100355,13,0.118343195
1822030,13,0.121311475
2054920,13,0.135416667
1841792,13,0.14137931
2023234,13,0.178571429
2100343,13,0.180272109
1954923,13,0.180758017
1934782,13,0.191666667
2000750,13,0.23699422
2000865,13,0.238434164
1761008,13,0.24567474
1920550,13,0.285223368
1956114,13,0.306722689
1761158,13,0.336099585
2100234,13,0.338658147
1760894,13,0.39893617
2100355,14,0.100591716
2125733,14,0.103658537
2105555,14,0.103942652
2125872,14,0.107655502
1828993,14,0.112903226
2125924,14,0.154362416
2113839,14,0.160130719
2021540,14,0.195054945
2100139,14,0.201365188
2125906,14,0.297752809
1761249,14,0.343558282
1806889,15,0.100628931
1947295,15,0.101910828
1820609,15,0.105932203
2115028,15,0.123552124
2041960,15,0.127478754
1753681,15,0.129337539
1922202,15,0.139830508
1901733,15,0.142857143
2011117,15,0.143426295
1903423,15,0.167938931
1821788,15,0.176470588
1855841,15,0.183745583
2117073,15,0.221854305
1927550,15,0.245967742
1819521,15,0.582677165
1820531,15,0.612
1806593,16,0.101654846
2100139,16,0.102389078
2022138,16,0.108024691
1922758,16,0.121387283
1828942,16,0.122562674
1937251,16,0.127272727
1922512,16,0.139204545
2125684,16,0.154791155
2055062,16,0.158844765
1922658,16,0.159235669
1937612,16,0.159340659
1855886,16,0.161676647
2125295,16,0.168639053
1820685,16,0.176029963
2021874,16,0.248291572
1955109,16,0.259146341
1761251,16,0.29588015
1919004,17,0.116071429
2125362,17,0.123115578
1922598,17,0.142857143
2105721,17,0.145363409
1829008,17,0.151515152
1922761,17,0.156334232
1922697,17,0.182080925
2021628,17,0.186486486
2125865,17,0.210958904
1912474,17,0.217391304
1922591,17,0.232445521
2120888,17,0.287709497
2114808,17,0.298192771
1926736,17,0.328358209
1926789,17,0.37944664
1835309,17,0.424581006
1951688,18,0.105113636
1955049,18,0.132930514
2125764,18,0.133126935
2105489,18,0.134366925
1937251,18,0.175757576
1921576,18,0.19269103
1955062,18,0.254491018
1842678,18,0.322033898
1937612,18,0.373626374
1940221,19,0.102409639
2105718,19,0.104519774
1806815,19,0.1125
1723734,19,0.124444444
2037360,19,0.134146341
2123024,19,0.136792453
2031066,19,0.17562724
1806607,19,0.21875
1822030,19,0.242622951
2030313,19,0.243176179
1841792,19,0.272413793
1856384,19,0.305810398
2030148,19,0.338926174
1848789,19,0.435736677
1820686,20,0.100456621
2030313,20,0.101736973
1807086,20,0.102639296
2125606,20,0.11452514
2043104,20,0.115591398
2031066,20,0.164874552
1954776,20,0.166064982
1806705,20,0.187279152
2105661,20,0.220447284
1943041,20,0.235772358
2048018,20,0.311797753
2105251,20,0.372307692
2105254,20,0.391437309
2022040,21,0.102564103
1829008,21,0.106060606
1854494,21,0.107296137
2125703,21,0.108938547
1922649,21,0.110817942
2015554,21,0.111486486
1828288,21,0.115979381
1821829,21,0.125628141
2105801,21,0.133986928
2125733,21,0.134146341
2125606,21,0.136871508
1821560,21,0.138755981
1922758,21,0.179190751
2125510,21,0.207865169
2039288,21,0.22295082
1900210,21,0.336363636
2043095,22,0.100294985
1927550,22,0.112903226
2042882,22,0.130193906
2043022,22,0.132307692
2043237,22,0.143730887
1953525,22,0.157024793
2100343,22,0.166666667
1940221,22,0.168674699
2043084,22,0.177777778
1760993,22,0.212328767
1842074,22,0.224264706
1842287,22,0.229390681
2041856,22,0.295454545
1842096,22,0.342105263
1914613,22,0.350649351
2139901,22,0.38
2140003,22,0.386666667
1820573,23,0.105072464
1821822,23,0.105263158
2038483,23,0.117088608
2123024,23,0.122641509
1914613,23,0.123376623
1723734,23,0.146666667
1922202,23,0.199152542
1842074,23,0.213235294
1921576,23,0.215946844
1922291,23,0.220149254
1753983,23,0.239819005
1822567,23,0.245535714
1842096,23,0.25
1922072,23,0.260700389
1842287,23,0.279569892
1921485,23,0.280254777
1922180,23,0.299295775
1922169,23,0.30418251
2043237,23,0.321100917
1921813,23,0.327731092
2042700,23,0.332278481
2043084,23,0.351851852
1914771,23,0.360995851
2043022,23,0.366153846
1921726,23,0.366883117
1754014,23,0.372881356
2043104,23,0.376344086
1754092,23,0.381481481
1922398,23,0.385321101
1750038,23,0.391304348
2043250,23,0.393442623
1921840,23,0.396825397
1753681,23,0.397476341
1946607,23,0.403225806
2043095,23,0.404129794
1946626,23,0.408730159
1946493,23,0.415873016
1922270,23,0.424050633
1753900,23,0.428104575
1754085,23,0.435087719
2042882,23,0.440443213
1754054,23,0.443037975
1820686,23,0.447488584
1946557,23,0.449315068
1941415,23,0.450920245
2042996,23,0.453531599
2043302,23,0.457680251
1946599,23,0.457680251
1946537,23,0.461111111
1946650,23,0.468468468
1946619,23,0.472
2043324,23,0.47311828
1946442,23,0.484375
2042416,23,0.495327103
1946553,23,0.512367491
2043106,23,0.526610644
2024584,24,0.105442177
1907537,24,0.106557377
2032122,24,0.117088608
2011117,24,0.123505976
2100134,24,0.128654971
1821794,24,0.129186603
1954967,24,0.129682997
1912474,24,0.144021739
2039612,24,0.182692308
