document,topic,gamma,amount,ele_code
1949922,8,0.046332046,318639,7980
1922697,8,0.046242775,3115884,"1997, 7261"
2125727,8,0.046153846,2998922,1997
1856394,8,0.045731707,499957,"1997, 7261"
1821744,8,0.045685279,3.00E+05,8060
1914613,8,0.045454545,497356,"7412, 8060"
2125906,8,0.04494382,2995850,1997
1931800,8,0.044897959,499595,8060
1841792,8,0.044827586,246863,7980
2021871,8,0.044736842,2999289,1997
2054968,8,0.044728435,113025,8060
2017950,8,0.043859649,200562,7980
2123024,8,0.04245283,59286,1668
1754054,8,0.042194093,2502208,1668
2030313,8,0.042183623,163033,1997
2114808,8,0.042168675,299987,8060
2039445,8,0.041522491,3.00E+05,8060
1761251,8,0.041198502,169057,7980
2024584,8,0.040816327,193853,162Y
2125868,8,0.040767386,2999658,"104Y, 1997"
1946442,8,0.040625,1617544,1668
1842074,8,0.040441176,NA,NA
1922639,8,0.040431267,2999967,"1997, 7261"
2043022,8,0.04,957943,
1761249,8,0.039877301,492531,7980
2011117,8,0.039840637,415999,8060
2048018,8,0.039325843,245220,7980
1946607,8,0.038709677,1634366,1668
2100355,8,0.038461538,487909,7980
1828466,8,0.038095238,2998314,"1997, 7261"
1920560,8,0.036407767,1489273,7980
1820573,8,0.036231884,499853,1668
2031066,8,0.035842294,263216,7980
1828149,8,0.035812672,2999967,"1997, 7261"
2021540,8,0.035714286,3.00E+06,1997
2105661,8,0.03514377,420299,1997
2025686,8,0.034090909,NA,NA
2122416,8,0.033962264,499971,8060
1937490,8,0.033834586,1425654,7980
2030148,8,0.033557047,200466,1997
1828820,8,0.033333333,2997865,"1997, 7261"
2139901,8,0.033333333,NA,NA
1829075,8,0.032967033,2899112,"1997, 7261, 7699"
1855925,8,0.032967033,499174,"1997, 7261"
2125362,8,0.032663317,1994676,1997
1922761,8,0.032345013,2999998,"1997, 7261"
2105555,8,0.032258065,332184,1997
2100134,8,0.032163743,399826,1668
1821788,8,0.032085561,315984,8060
2114200,8,0.03202847,399674,8060
1946626,8,0.031746032,922706,1668
1922642,8,0.031700288,3.00E+06,"1997, 7261"
2038483,8,0.03164557,297719,8060
1926789,8,0.031620553,999834,"7980, 8624"
1821822,8,0.031578947,363999,8060
1754085,8,0.031578947,2209592,1668
1819521,8,0.031496063,NA,NA
2114824,8,0.03125,312568,"054y, 8060"
1919004,8,0.03125,541524,8060
1856302,8,0.03125,499835,"1997, 7261"
2100155,8,0.031152648,764191,7980
2043106,8,0.030812325,1383804,
2114981,8,0.030716724,299481,8060
1922169,8,0.030418251,2391193,1668
2125677,8,0.030150754,3.00E+06,1997
2125865,8,0.030136986,2999920,1997
1828571,8,0.03003003,2998366,"1997, 7261"
2126031,8,0.029801325,293442,162Y
2042996,8,0.029739777,954746,1668
2021628,8,0.02972973,3.00E+06,1997
2043084,8,0.02962963,1518705,1668
1807056,8,0.029605263,498950,"1997, 7261"
2113839,8,0.029411765,215000,8060
1922649,8,0.029023747,2999967,"1997, 7261"
1844136,8,0.028735632,250685,8060
2125758,8,0.028503563,2999701,1997
2042882,8,0.027700831,1348615,1668
1941415,8,0.027607362,1658202,1668
1920550,8,0.027491409,1421955,7980
1856346,8,0.02739726,959082,"1997, 7261"
2100139,8,0.027303754,1334745,"125Y, 7980"
2039408,8,0.026923077,299810,8060
1828974,8,0.026809651,3020324,"1997, 7261"
2140003,8,0.026666667,NA,NA
1921840,8,0.026455026,2527837,1668
2043250,8,0.026229508,1540696,1668
2000750,8,0.026011561,512509,7980
2041788,8,0.025925926,299777,8060
2115025,8,0.025806452,299941,8060
1954978,8,0.025806452,5.00E+05,1997
2039612,8,0.025641026,299923,8060
2114936,8,0.025559105,NA,NA
1820609,8,0.025423729,499594,1668
2025046,8,0.025380711,277359,162Y
1903152,8,0.025316456,36907,7261
2055062,8,0.025270758,1109100,7980
2039616,8,0.025236593,335982,8060
1921813,8,0.025210084,2383240,1668
1821829,8,0.025125628,299998,8060
1828942,8,0.025069638,2907236,"1997, 7261"
1922666,8,0.024930748,2980383,"1997, 7261"
1953525,8,0.024793388,1376908,"1997, 7980"
2021744,8,0.024774775,2999999,1997
2041970,8,0.024734982,299945,8060
1937612,8,0.024725275,998257,7980
2028426,8,0.024691358,399203,"055Y, 1998, 8060"
1946557,8,0.024657534,1062699,1668
1907537,8,0.024590164,320446,8060
2000483,8,0.024464832,939673,7980
1829008,8,0.024242424,2993421,"1997, 7261"
1922591,8,0.024213075,1560000,1997
1821560,8,0.023923445,299999,8060
1922004,8,0.023622047,3.00E+06,"1997, 7261"
1807086,8,0.023460411,124413,1997
1821775,8,0.023041475,299977,8060
1846321,8,0.022988506,379809,7980
1922579,8,0.02295082,2822789,"1997, 7261"
2105801,8,0.022875817,391012,8060
2022040,8,0.022792023,2999525,1997
2041856,8,0.022727273,554762110,7172
1821753,8,0.022624434,299935,8060
1922291,8,0.02238806,2026410,1668
2125606,8,0.022346369,2.00E+06,1997
2114789,8,0.022292994,3.00E+05,8060
1954259,8,0.022222222,499145,8060
1848789,8,0.021943574,30258,1997
1828822,8,0.021943574,3018896,"1997, 7261"
2125940,8,0.021604938,335948,162Y
2043104,8,0.021505376,1324935,1668
1854494,8,0.021459227,32940,8060
1922398,8,0.021406728,2574805,1668
2105254,8,0.021406728,NA,NA
2125733,8,0.021341463,3.00E+06,1997
1855841,8,0.021201413,331009,"1997, 7261"
1842678,8,0.021186441,20000,1668
2054920,8,0.020833333,NA,NA
1934782,8,0.020833333,316000,1668
1914771,8,0.020746888,1683319,1668
2043095,8,0.020648968,1352250,1668
2000388,8,0.020648968,1328108,"7645, 7980"
1760993,8,0.020547945,1465787,7980
1821841,8,0.020512821,279448,8060
1915780,8,0.020491803,522175,8060
1901733,8,0.020408163,43831,8060
2117073,8,0.01986755,492892,8060
2021900,8,0.019830028,2994994,1997
2125684,8,0.01965602,1999736,1997
1821780,8,0.01953125,308000,"1668, 8060"
1828993,8,0.019354839,3.00E+06,"1997, 7261"
2115028,8,0.019305019,297712,8060
2024020,8,0.019169329,313087,162Y
1922270,8,0.018987342,849138,1668
2042700,8,0.018987342,2200200,1668
2114680,8,0.018927445,298214,8060
2022190,8,0.01891253,3.00E+06,"104Y, 1997"
1806815,8,0.01875,499908,"1997, 7261"
2028397,8,0.018656716,397826,8060
2105251,8,0.018461538,5.00E+05,1997
2039354,8,0.018315018,313881,8060
1806607,8,0.018229167,598989,"1997, 7261"
1937251,8,0.018181818,1195630,"162Y, 7980"
1955049,8,0.018126888,499449,1997
2105489,8,0.018087855,499870,1997
1940221,8,0.018072289,83755,7980
2039634,8,0.017804154,3.00E+05,8060
2000865,8,0.017793594,496963,7980
2125748,8,0.017632242,2984140,1997
1922180,8,0.017605634,2764115,1668
2126059,8,0.017605634,325009,162Y
2029632,8,0.017241379,4.00E+05,8060
1956114,8,0.016806723,828194,7980
1835309,8,0.016759777,999375,"7980, 8624"
1761158,8,0.01659751,477224,7980
1919326,8,0.016216216,694964,7980
2126023,8,0.016194332,349948,162Y
2125644,8,0.016129032,3.00E+06,1997
2025162,8,0.01607717,348866,162Y
1954946,8,0.016025641,499978,1997
1946619,8,0.016,1290495,1668
1760894,8,0.015957447,2474180,7980
1922658,8,0.015923567,3.00E+06,1997
2021693,8,0.015873016,2748866,1997
2032122,8,0.015822785,145000,7980
1922687,8,0.015544041,2998770,"1997, 7261"
1934285,8,0.015384615,498907,8060
2113803,8,0.015337423,299995,8060
1920529,8,0.01532567,673249,7980
2113955,8,0.015267176,299999,8060
2039583,8,0.01510574,3.00E+05,8060
1820685,8,0.014981273,499964,1668
1855886,8,0.01497006,499649,"1997, 7261"
1926736,8,0.014925373,393394,"7980, 8624"
1754092,8,0.014814815,4099434,1668
2000847,8,0.014245014,690027,7980
1951688,8,0.014204545,533658,8060
1806593,8,0.014184397,478443,"1997, 7261"
1806705,8,0.014134276,580188,1997
2125510,8,0.014044944,1999902,1997
2114892,8,0.013793103,299993,8060
2125858,8,0.013774105,2415108,1997
1900210,8,0.013636364,3.00E+05,8060
2100343,8,0.013605442,655321,7980
2039610,8,0.013605442,3.00E+05,8060
2015554,8,0.013513514,399999,8060
1822567,8,0.013392857,420377,1668
1723734,8,0.013333333,499287,1668
2039605,8,0.01320132,299566,8060
1753681,8,0.012618297,3003088,1668
1806889,8,0.012578616,NA,NA
1806874,8,0.012269939,490804,"1997, 7261"
2021791,8,0.012158055,2999999,"1997, 7275"
1922598,8,0.012106538,2999928,"1997, 7261"
2022023,8,0.012019231,2999986,1997
2125921,8,0.011976048,1969598,"1997, 7959"
1821666,8,0.011811024,3.00E+05,8060
1922551,8,0.011627907,2998051,"1997, 7261"
1828910,8,0.011363636,3057335,"1997, 7261"
2105718,8,0.011299435,442383,1997
1912474,8,0.010869565,1367185,7980
1806664,8,0.010344828,433997,"1997, 7261"
1760831,8,0.010178117,733392,7980
2114911,8,0.010169492,299557,8060
2114974,8,0.010135135,299934,8060
2025349,8,0.010033445,232866,162Y
1921576,8,0.009966777,2732877,1668
1753900,8,0.009803922,4164665,1668
2022138,8,0.009259259,3.00E+06,1997
1856384,8,0.009174312,499898,"1997, 7261"
1955109,8,0.009146341,5.00E+05,1997
1820686,8,0.00913242,498425,1668
1753983,8,0.009049774,3080555,1668
2038029,8,0.008955224,3.00E+05,8060
2023234,8,0.008928571,349552,162Y
2021713,8,0.008797654,2998114,"054Y, 104Y, 1997"
1828869,8,0.008695652,2997405,"1997, 7261"
1922758,8,0.00867052,3.00E+06,"1997, 7261"
2125528,8,0.008571429,2999967,1997
1922512,8,0.008522727,2999661,"1997, 7261"
1931724,8,0.008403361,532000,8060
1820531,8,0.008,5.00E+05,1668
1806904,8,0.007042254,440743,"1997, 7261"
1761008,8,0.006920415,2534716,7980
2021874,8,0.006833713,2999878,1997
1760884,8,0.006578947,499996,7980
1829071,8,0.006557377,3.00E+06,"1997, 7261"
2100234,8,0.006389776,882756,7980
2114660,8,0.006309148,304761,162Y
2021585,8,0.006309148,2400000,1997
2000599,8,0.006079027,831276,7980
1955062,8,0.005988024,389619,1997
2125295,8,0.00591716,2999513,1997
2041960,8,0.005665722,316000,8060
1829004,8,0.005586592,3069765,"1997, 7261"
2022036,8,0.004878049,2998915,1997
1760884,9,0.581140351,499996,7980
1919326,9,0.562162162,694964,7980
1903152,9,0.462025316,36907,7261
2000483,9,0.357798165,939673,7980
2000388,9,0.351032448,1328108,"7645, 7980"
1951688,9,0.224431818,533658,8060
1760831,9,0.208651399,733392,7980
2015554,9,0.172297297,399999,8060
2017950,9,0.171052632,200562,7980
1821753,9,0.167420814,299935,8060
2055062,9,0.133574007,1109100,7980
2122416,9,0.132075472,499971,8060
2125940,9,0.12654321,335948,162Y
2115008,9,0.123188406,297575,8060
2039616,9,0.113564669,335982,8060
2126059,9,0.112676056,325009,162Y
2000865,9,0.103202847,496963,7980
2114981,9,0.102389078,299481,8060
1903423,9,0.091603053,499164,8060
1806698,9,0.076712329,497820,"1997, 7261, 9150"
1821794,9,0.076555024,299998,8060
2028426,9,0.074074074,399203,"055Y, 1998, 8060"
2030148,9,0.070469799,200466,1997
2114824,9,0.0703125,312568,"054y, 8060"
1856189,9,0.069486405,499797,"1997, 7261"
2105723,9,0.066420664,5.00E+05,1997
2117073,9,0.066225166,492892,8060
2024020,9,0.060702875,313087,162Y
2112689,9,0.052264808,48765,7980
2100155,9,0.049844237,764191,7980
1915780,9,0.049180328,522175,8060
2120888,9,0.047486034,459224,162Y
2021628,9,0.045945946,3.00E+06,1997
1820686,9,0.0456621,498425,1668
1750038,9,0.043478261,2170960,1668
1855886,9,0.041916168,499649,"1997, 7261"
2025046,9,0.040609137,277359,162Y
1828974,9,0.040214477,3020324,"1997, 7261"
2113803,9,0.039877301,299995,8060
2011117,9,0.039840637,415999,8060
1926789,9,0.039525692,999834,"7980, 8624"
1922598,9,0.03874092,2999928,"1997, 7261"
2105661,9,0.038338658,420299,1997
2114789,9,0.038216561,3.00E+05,8060
1931724,9,0.037815126,532000,8060
1760894,9,0.037234043,2474180,7980
2039637,9,0.036923077,299987,8060
2021871,9,0.036842105,2999289,1997
2037360,9,0.036585366,236486,"162y, 7980"
2126023,9,0.036437247,349948,162Y
1835309,9,0.036312849,999375,"7980, 8624"
1829071,9,0.036065574,3.00E+06,"1997, 7261"
1919004,9,0.035714286,541524,8060
1723734,9,0.035555556,499287,1668
1754085,9,0.035087719,2209592,1668
2114808,9,0.03313253,299987,8060
1922639,9,0.032345013,2999967,"1997, 7261"
2030313,9,0.032258065,163033,1997
2031066,9,0.032258065,263216,7980
1946626,9,0.031746032,922706,1668
1821766,9,0.03125,294280,8060
1922072,9,0.031128405,2574236,1668
2105718,9,0.031073446,442383,1997
2043022,9,0.030769231,957943,
2023234,9,0.029761905,349552,162Y
1828902,9,0.029673591,2994781,"1997, 7261"
2039288,9,0.029508197,299990,8060
2113839,9,0.029411765,215000,8060
1956114,9,0.029411765,828194,7980
2032292,9,0.029069767,4.00E+05,
1931800,9,0.028571429,499595,8060
1943041,9,0.028455285,290745,7980
1806705,9,0.028268551,580188,1997
1828822,9,0.028213166,3018896,"1997, 7261"
2039445,9,0.027681661,3.00E+05,8060
1761008,9,0.027681661,2534716,7980
2114952,9,0.027522936,3.00E+05,8060
1824258,9,0.02745098,299947,8060
1912474,9,0.027173913,1367185,7980
1822567,9,0.026785714,420377,1668
2025349,9,0.026755853,232866,162Y
2139901,9,0.026666667,NA,NA
1937778,9,0.026548673,385300,"162Y, 7980"
1822030,9,0.026229508,37167,"1997, 7980"
1846321,9,0.025862069,379809,7980
1947295,9,0.025477707,444665,8060
2121898,9,0.025454545,227519,162Y
1842678,9,0.025423729,20000,1668
2125764,9,0.024767802,3.00E+06,"107Y, 1997"
2041970,9,0.024734982,299945,8060
1761249,9,0.024539877,492531,7980
2039606,9,0.024539877,308000,8060
1956193,9,0.024271845,NA,NA
1927550,9,0.024193548,481761,8060
2125644,9,0.024193548,3.00E+06,1997
1940221,9,0.024096386,83755,7980
1821560,9,0.023923445,299999,8060
1926736,9,0.023880597,393394,"7980, 8624"
1922560,9,0.023809524,2999379,"1997, 7261"
1912753,9,0.023696682,481360,8060
1828010,9,0.023498695,2999997,"062Y, 1997, 7259, 7261"
1828288,9,0.023195876,2995676,"1997, 9150"
2115028,9,0.023166023,297712,8060
2029632,9,0.022988506,4.00E+05,8060
2105801,9,0.022875817,391012,8060
2022040,9,0.022792023,2999525,1997
1922512,9,0.022727273,2999661,"1997, 7261"
2041856,9,0.022727273,554762110,7172
2041960,9,0.02266289,316000,8060
1761251,9,0.02247191,169057,7980
2125906,9,0.02247191,2995850,1997
2100234,9,0.022364217,882756,7980
2042882,9,0.022160665,1348615,1668
1922270,9,0.022151899,849138,1668
2114680,9,0.022082019,298214,8060
1922694,9,0.022058824,2998456,"1997, 7261"
2125858,9,0.022038567,2415108,1997
2105635,9,0.022012579,499997,1997
2021540,9,0.021978022,3.00E+06,1997
2022138,9,0.021604938,3.00E+06,1997
1855841,9,0.021201413,331009,"1997, 7261"
1934782,9,0.020833333,316000,1668
1761158,9,0.020746888,477224,7980
1922687,9,0.020725389,2998770,"1997, 7261"
1907537,9,0.020491803,320446,8060
2100134,9,0.020467836,399826,1668
1922697,9,0.020231214,3115884,"1997, 7261"
1954967,9,0.020172911,495993,1997
1821829,9,0.020100503,299998,8060
2140003,9,0.02,NA,NA
2126031,9,0.01986755,293442,162Y
1855978,9,0.019753086,389708,"1997, 7261"
2125510,9,0.019662921,1999902,1997
1828942,9,0.019498607,2907236,"1997, 7261"
1946537,9,0.019444444,1457244,1668
1949922,9,0.019305019,318639,7980
1954946,9,0.019230769,499978,1997
2114936,9,0.019169329,NA,NA
1954836,9,0.019047619,497799,1997
2123024,9,0.018867925,59286,1668
1946599,9,0.018808777,1650474,1668
1806815,9,0.01875,499908,"1997, 7261"
2028397,9,0.018656716,397826,8060
2041788,9,0.018518519,299777,8060
1754092,9,0.018518519,4099434,1668
1922649,9,0.018469657,2999967,"1997, 7261"
1922398,9,0.018348624,2574805,1668
2039354,9,0.018315018,313881,8060
2021791,9,0.018237082,2999999,"1997, 7275"
1829008,9,0.018181818,2993421,"1997, 7261"
1955049,9,0.018126888,499449,1997
1954776,9,0.018050542,512063,1997
1806323,9,0.018018018,499997,"1997, 7261"
1828571,9,0.018018018,2998366,"1997, 7261"
2125483,9,0.017777778,349948,162Y
2125748,9,0.017632242,2984140,1997
1806904,9,0.017605634,440743,"1997, 7261"
1806664,9,0.017241379,433997,"1997, 7261"
2114892,9,0.017241379,299993,8060
1841792,9,0.017241379,246863,7980
2104532,9,0.017182131,399986,8060
1820609,9,0.016949153,499594,1668
2114911,9,0.016949153,299557,8060
1754054,9,0.016877637,2502208,1668
1820666,9,0.016877637,882952,1668
2048018,9,0.016853933,245220,7980
1921813,9,0.016806723,2383240,1668
2022168,9,0.016806723,3.00E+06,1997
2125606,9,0.016759777,2.00E+06,1997
1946557,9,0.016438356,1062699,1668
2043250,9,0.016393443,1540696,1668
2043104,9,0.016129032,1324935,1668
2115025,9,0.016129032,299941,8060
2039612,9,0.016025641,299923,8060
1946619,9,0.016,1290495,1668
1820531,9,0.016,5.00E+05,1668
1806908,9,0.015974441,490101,"1997, 7261"
1922658,9,0.015923567,3.00E+06,1997
1828466,9,0.015873016,2998314,"1997, 7261"
2038483,9,0.015822785,297719,8060
1821822,9,0.015789474,363999,8060
2037658,9,0.015686275,4.00E+05,8060
1806607,9,0.015625,598989,"1997, 7261"
1821780,9,0.015625,308000,"1668, 8060"
1934285,9,0.015384615,498907,8060
2039408,9,0.015384615,299810,8060
2105251,9,0.015384615,5.00E+05,1997
1821841,9,0.015384615,279448,8060
1920529,9,0.01532567,673249,7980
2125733,9,0.015243902,3.00E+06,1997
1937251,9,0.015151515,1195630,"162Y, 7980"
2105721,9,0.015037594,499749,1997
1946650,9,0.015015015,976616,1668
1955062,9,0.01497006,389619,1997
2125921,9,0.01497006,1969598,"1997, 7959"
2042996,9,0.014869888,954746,1668
2125295,9,0.014792899,2999513,1997
1937714,9,0.014545455,349667,7980
2125872,9,0.014354067,3.00E+06,"1997, 9150"
1842287,9,0.014336918,568831,"1536, 1668, 7412"
1928820,9,0.014285714,233212,7261
1806593,9,0.014184397,478443,"1997, 7261"
2022190,9,0.014184397,3.00E+06,"104Y, 1997"
1946553,9,0.014134276,1756591,1668
2043106,9,0.014005602,1383804,
1922666,9,0.013850416,2980383,"1997, 7261"
1821775,9,0.013824885,299977,8060
1920550,9,0.013745704,1421955,7980
1937612,9,0.013736264,998257,7980
1760993,9,0.01369863,1465787,7980
1901733,9,0.013605442,43831,8060
1753983,9,0.013574661,3080555,1668
2022055,9,0.013513514,2999859,"054Y, 1997"
1937738,9,0.013468013,342101,7980
1921576,9,0.013289037,2732877,1668
1922579,9,0.013114754,2822789,"1997, 7261"
1753900,9,0.013071895,4164665,1668
1921726,9,0.012987013,4191301,1668
1922202,9,0.012711864,2324333,"1668, 8060"
2042700,9,0.012658228,2200200,1668
2125362,9,0.012562814,1994676,1997
2125677,9,0.012562814,3.00E+06,1997
2043302,9,0.012539185,907904,1668
1946442,9,0.0125,1617544,1668
2125684,9,0.012285012,1999736,1997
1856384,9,0.012232416,499898,"1997, 7261"
2043237,9,0.012232416,1422198,1668
2105254,9,0.012232416,NA,NA
1819521,9,0.011811024,NA,NA
2043095,9,0.01179941,1352250,1668
1954923,9,0.011661808,5.00E+05,1997
2000750,9,0.011560694,512509,7980
1922758,9,0.011560694,3.00E+06,"1997, 7261"
1844136,9,0.011494253,250685,8060
2113955,9,0.011450382,299999,8060
2125528,9,0.011428571,2999967,1997
1922169,9,0.011406844,2391193,1668
2025686,9,0.011363636,NA,NA
1828910,9,0.011363636,3057335,"1997, 7261"
2021900,9,0.011331445,2994994,1997
1937490,9,0.011278195,1425654,7980
1922291,9,0.01119403,2026410,1668
1829004,9,0.011173184,3069765,"1997, 7261"
2043084,9,0.011111111,1518705,1668
2125865,9,0.010958904,2999920,1997
1820573,9,0.010869565,499853,1668
1821788,9,0.010695187,315984,8060
1922180,9,0.01056338,2764115,1668
1922004,9,0.010498688,3.00E+06,"1997, 7261"
2054920,9,0.010416667,NA,NA
1856302,9,0.010416667,499835,"1997, 7261"
1856346,9,0.010273973,959082,"1997, 7261"
2100139,9,0.010238908,1334745,"125Y, 7980"
2100343,9,0.010204082,655321,7980
1821744,9,0.010152284,3.00E+05,8060
2114974,9,0.010135135,299934,8060
2125924,9,0.010067114,3.00E+06,"1253, 1997"
2138250,9,0.009836066,99879,1997
1920560,9,0.009708738,1489273,7980
1954978,9,0.009677419,5.00E+05,1997
2025162,9,0.009646302,348866,162Y
2022023,9,0.009615385,2999986,1997
2125868,9,0.009592326,2999658,"104Y, 1997"
2054968,9,0.009584665,113025,8060
1946493,9,0.00952381,837422,1668
2114660,9,0.009463722,304761,162Y
1806889,9,0.009433962,NA,NA
1848789,9,0.009404389,30258,1997
2042416,9,0.009345794,1396284,1668
1806874,9,0.009202454,490804,"1997, 7261"
2105726,9,0.009174312,458240,1997
1856394,9,0.009146341,499957,"1997, 7261"
2000599,9,0.009118541,831276,7980
2021874,9,0.009111617,2999878,1997
1900210,9,0.009090909,3.00E+05,8060
2125913,9,0.009090909,3.00E+06,1997
2039583,9,0.009063444,3.00E+05,8060
2038029,9,0.008955224,3.00E+05,8060
1820640,9,0.008928571,497000,1668
2100355,9,0.00887574,487909,7980
2021713,9,0.008797654,2998114,"054Y, 104Y, 1997"
1807086,9,0.008797654,124413,1997
1854494,9,0.008583691,32940,8060
2000847,9,0.008547009,690027,7980
1754014,9,0.008474576,3133673,1668
1914771,9,0.008298755,1683319,1668
1953525,9,0.008264463,1376908,"1997, 7980"
1829075,9,0.008241758,2899112,"1997, 7261, 7699"
2125798,9,0.008174387,3.00E+06,1997
1922761,9,0.008086253,2999998,"1997, 7261"
2021693,9,0.007936508,2748866,1997
1821666,9,0.007874016,3.00E+05,8060
2105489,9,0.007751938,499870,1997
1820685,9,0.007490637,499964,1668
1842074,9,0.007352941,NA,NA
1855925,9,0.007326007,499174,"1997, 7261"
1922591,9,0.007263923,1560000,1997
2043324,9,0.007168459,1917081,1668
2105555,9,0.007168459,332184,1997
2113981,9,0.007142857,399974,1668
2125758,9,0.007125891,2999701,1997
2114200,9,0.007117438,399674,8060
2039610,9,0.006802721,3.00E+05,8060
2024584,9,0.006802721,193853,162Y
2039605,9,0.00660066,299566,8060
1842096,9,0.006578947,7564135,"1536, 1668, 7412"
1807056,9,0.006578947,498950,"1997, 7261"
1914613,9,0.006493506,497356,"7412, 8060"
2025257,9,0.006451613,228379,162Y
1946607,9,0.006451613,1634366,1668
1828993,9,0.006451613,3.00E+06,"1997, 7261"
1921485,9,0.006369427,2445818,1668
1954259,9,0.006349206,499145,8060
2032122,9,0.006329114,145000,7980
1753681,9,0.006309148,3003088,1668
2021585,9,0.006309148,2400000,1997
2125727,9,0.006153846,2998922,1997
1941415,9,0.006134969,1658202,1668
1955109,9,0.006097561,5.00E+05,1997
2039634,9,0.005934718,3.00E+05,8060
1922551,9,0.005813953,2998051,"1997, 7261"
1828869,9,0.005797101,2997405,"1997, 7261"
1922642,9,0.005763689,3.00E+06,"1997, 7261"
2125703,9,0.005586592,925924,1997
1828820,9,0.005555556,2997865,"1997, 7261"
1828149,9,0.005509642,2999967,"1997, 7261"
1921840,9,0.005291005,2527837,1668
2022036,9,0.004878049,2998915,1997
2021744,9,0.004504505,2999999,1997
2021900,10,0.450424929,2994994,1997
1829071,10,0.370491803,3.00E+06,"1997, 7261"
1922642,10,0.365994236,3.00E+06,"1997, 7261"
1828149,10,0.360881543,2999967,"1997, 7261"
1922551,10,0.351744186,2998051,"1997, 7261"
2021871,10,0.35,2999289,1997
2125703,10,0.349162011,925924,1997
2125748,10,0.337531486,2984140,1997
2125924,10,0.33557047,3.00E+06,"1253, 1997"
1922579,10,0.33442623,2822789,"1997, 7261"
1922560,10,0.333333333,2999379,"1997, 7261"
2125798,10,0.332425068,3.00E+06,1997
2125644,10,0.330645161,3.00E+06,1997
2021791,10,0.328267477,2999999,"1997, 7275"
2022023,10,0.326923077,2999986,1997
2125872,10,0.313397129,3.00E+06,"1997, 9150"
1828466,10,0.311111111,2998314,"1997, 7261"
2022055,10,0.310810811,2999859,"054Y, 1997"
2022138,10,0.308641975,3.00E+06,1997
1922649,10,0.306068602,2999967,"1997, 7261"
2022168,10,0.305322129,3.00E+06,1997
2125606,10,0.298882682,2.00E+06,1997
1829075,10,0.288461538,2899112,"1997, 7261, 7699"
2125727,10,0.286153846,2998922,1997
1828869,10,0.284057971,2997405,"1997, 7261"
1922658,10,0.28343949,3.00E+06,1997
1922758,10,0.283236994,3.00E+06,"1997, 7261"
2125858,10,0.280991736,2415108,1997
1828010,10,0.276762402,2999997,"062Y, 1997, 7259, 7261"
1828910,10,0.275568182,3057335,"1997, 7261"
2125528,10,0.271428571,2999967,1997
2125758,10,0.270783848,2999701,1997
1922761,10,0.269541779,2999998,"1997, 7261"
2021540,10,0.269230769,3.00E+06,1997
1922697,10,0.268786127,3115884,"1997, 7261"
2021585,10,0.268138801,2400000,1997
2125733,10,0.265243902,3.00E+06,1997
1829004,10,0.262569832,3069765,"1997, 7261"
2022040,10,0.259259259,2999525,1997
1828993,10,0.25483871,3.00E+06,"1997, 7261"
2125677,10,0.248743719,3.00E+06,1997
2125295,10,0.24852071,2999513,1997
2125906,10,0.247191011,2995850,1997
1922687,10,0.243523316,2998770,"1997, 7261"
1922639,10,0.242587601,2999967,"1997, 7261"
1922591,10,0.242130751,1560000,1997
1922598,10,0.242130751,2999928,"1997, 7261"
2021628,10,0.240540541,3.00E+06,1997
2021713,10,0.240469208,2998114,"054Y, 104Y, 1997"
2125510,10,0.238764045,1999902,1997
1922512,10,0.238636364,2999661,"1997, 7261"
1828288,10,0.234536082,2995676,"1997, 9150"
2021744,10,0.22972973,2999999,1997
2125865,10,0.224657534,2999920,1997
2125764,10,0.222910217,3.00E+06,"107Y, 1997"
1828822,10,0.222570533,3018896,"1997, 7261"
1828974,10,0.222520107,3020324,"1997, 7261"
2022190,10,0.21749409,3.00E+06,"104Y, 1997"
1922694,10,0.215686275,2998456,"1997, 7261"
2125913,10,0.215151515,3.00E+06,1997
1828820,10,0.213888889,2997865,"1997, 7261"
1828902,10,0.213649852,2994781,"1997, 7261"
2125362,10,0.211055276,1994676,1997
2125921,10,0.209580838,1969598,"1997, 7959"
2138250,10,0.206557377,99879,1997
1922666,10,0.20498615,2980383,"1997, 7261"
1922004,10,0.204724409,3.00E+06,"1997, 7261"
2021874,10,0.200455581,2999878,1997
1828571,10,0.195195195,2998366,"1997, 7261"
2125684,10,0.191646192,1999736,1997
2125868,10,0.184652278,2999658,"104Y, 1997"
2022036,10,0.182926829,2998915,1997
1829008,10,0.178787879,2993421,"1997, 7261"
1828942,10,0.178272981,2907236,"1997, 7261"
2021693,10,0.177248677,2748866,1997
1807086,10,0.152492669,124413,1997
1848789,10,0.115987461,30258,1997
1822030,10,0.072131148,37167,"1997, 7980"
2105726,10,0.067278287,458240,1997
2105723,10,0.066420664,5.00E+05,1997
2100234,10,0.060702875,882756,7980
2038029,10,0.059701493,3.00E+05,8060
2028426,10,0.058641975,399203,"055Y, 1998, 8060"
2105635,10,0.056603774,499997,1997
1855841,10,0.056537102,331009,"1997, 7261"
1931724,10,0.054621849,532000,8060
1940221,10,0.054216867,83755,7980
1754092,10,0.051851852,4099434,1668
1761251,10,0.048689139,169057,7980
1806904,10,0.045774648,440743,"1997, 7261"
1807056,10,0.042763158,498950,"1997, 7261"
1955049,10,0.042296073,499449,1997
1922180,10,0.042253521,2764115,1668
2120888,10,0.041899441,459224,162Y
1934782,10,0.041666667,316000,1668
