document,topic,gamma,amount,ele_code
2105555,1,0.028673835,332184,1997
1828910,1,0.028409091,3057335,"1997, 7261"
1951688,1,0.028409091,533658,8060
2126023,1,0.028340081,349948,162Y
2028426,1,0.027777778,399203,"055Y, 1998, 8060"
1828820,1,0.027777778,2997865,"1997, 7261"
2114892,1,0.027586207,299993,8060
1856384,1,0.027522936,499898,"1997, 7261"
1937251,1,0.027272727,1195630,"162Y, 7980"
1946650,1,0.027027027,976616,1668
1922694,1,0.026960784,2998456,"1997, 7261"
2000847,1,0.025641026,690027,7980
2021900,1,0.025495751,2994994,1997
1821744,1,0.025380711,3.00E+05,8060
1903152,1,0.025316456,36907,7261
2105721,1,0.025062657,499749,1997
1946442,1,0.025,1617544,1668
2114200,1,0.024911032,399674,8060
1761158,1,0.024896266,477224,7980
2022138,1,0.024691358,3.00E+06,1997
2105251,1,0.024615385,5.00E+05,1997
1754085,1,0.024561404,2209592,1668
2022036,1,0.024390244,2998915,1997
1946619,1,0.024,1290495,1668
2024584,1,0.023809524,193853,162Y
2015554,1,0.023648649,399999,8060
1806607,1,0.0234375,598989,"1997, 7261"
2000750,1,0.023121387,512509,7980
1820686,1,0.02283105,498425,1668
1914613,1,0.022727273,497356,"7412, 8060"
1921726,1,0.022727273,4191301,1668
2122416,1,0.022641509,499971,8060
2125906,1,0.02247191,2995850,1997
2024020,1,0.022364217,313087,162Y
1806698,1,0.021917808,497820,"1997, 7261, 9150"
1820573,1,0.02173913,499853,1668
2115008,1,0.02173913,297575,8060
2125940,1,0.021604938,335948,162Y
2043104,1,0.021505376,1324935,1668
1928820,1,0.021428571,233212,7261
2114952,1,0.021406728,3.00E+05,8060
2000483,1,0.021406728,939673,7980
1820609,1,0.021186441,499594,1668
1842678,1,0.021186441,20000,1668
1754014,1,0.021186441,3133673,1668
1955049,1,0.021148036,499449,1997
1820666,1,0.021097046,882952,1668
1934782,1,0.020833333,316000,1668
1841792,1,0.020689655,246863,7980
1760993,1,0.020547945,1465787,7980
2125924,1,0.020134228,3.00E+06,"1253, 1997"
2029632,1,0.020114943,4.00E+05,8060
2025349,1,0.02006689,232866,162Y
1926789,1,0.019762846,999834,"7980, 8624"
1807056,1,0.019736842,498950,"1997, 7261"
2043250,1,0.019672131,1540696,1668
1822030,1,0.019672131,37167,"1997, 7980"
2048018,1,0.019662921,245220,7980
2125606,1,0.019553073,2.00E+06,1997
1920529,1,0.019157088,673249,7980
1753681,1,0.018927445,3003088,1668
1919326,1,0.018918919,694964,7980
2125644,1,0.018817204,3.00E+06,1997
1760894,1,0.018617021,2474180,7980
1941415,1,0.018404908,1658202,1668
2121898,1,0.018181818,227519,162Y
1922687,1,0.018134715,2998770,"1997, 7261"
1821753,1,0.018099548,299935,8060
1954776,1,0.018050542,512063,1997
1919004,1,0.017857143,541524,8060
2125295,1,0.017751479,2999513,1997
1807086,1,0.017595308,124413,1997
2100134,1,0.01754386,399826,1668
2112689,1,0.017421603,48765,7980
2039445,1,0.017301038,3.00E+05,8060
2104532,1,0.017182131,399986,8060
2043106,1,0.016806723,1383804,
1835309,1,0.016759777,999375,"7980, 8624"
2138250,1,0.016393443,99879,1997
1915780,1,0.016393443,522175,8060
2039288,1,0.016393443,299990,8060
1753900,1,0.016339869,4164665,1668
1943041,1,0.016260163,290745,7980
2042700,1,0.015822785,2200200,1668
2043022,1,0.015384615,957943,
2043237,1,0.01529052,1422198,1668
1903423,1,0.015267176,499164,8060
1760831,1,0.015267176,733392,7980
1922169,1,0.015209125,2391193,1668
2041856,1,0.015151515,554762110,7172
1820685,1,0.014981273,499964,1668
2030313,1,0.014888337,163033,1997
2023234,1,0.014880952,349552,162Y
2041788,1,0.014814815,299777,8060
1754092,1,0.014814815,4099434,1668
2021713,1,0.014662757,2998114,"054Y, 104Y, 1997"
1922598,1,0.014527845,2999928,"1997, 7261"
1846321,1,0.014367816,379809,7980
2125872,1,0.014354067,3.00E+06,"1997, 9150"
1912753,1,0.014218009,481360,8060
1946553,1,0.014134276,1756591,1668
2125510,1,0.014044944,1999902,1997
1828942,1,0.013927577,2907236,"1997, 7261"
1821775,1,0.013824885,299977,8060
1946557,1,0.01369863,1062699,1668
2100139,1,0.013651877,1334745,"125Y, 7980"
2139901,1,0.013333333,NA,NA
2140003,1,0.013333333,NA,NA
1922649,1,0.013192612,2999967,"1997, 7261"
1922579,1,0.013114754,2822789,"1997, 7261"
2105801,1,0.013071895,391012,8060
1854494,1,0.012875536,32940,8060
2114936,1,0.012779553,NA,NA
2100234,1,0.012779553,882756,7980
1946493,1,0.012698413,837422,1668
1954259,1,0.012698413,499145,8060
1806889,1,0.012578616,NA,NA
2100155,1,0.012461059,764191,7980
2011117,1,0.011952191,415999,8060
1922560,1,0.011904762,2999379,"1997, 7261"
1819521,1,0.011811024,NA,NA
1937778,1,0.01179941,385300,"162Y, 7980"
1824258,1,0.011764706,299947,8060
1937612,1,0.010989011,998257,7980
1912474,1,0.010869565,1367185,7980
2055062,1,0.010830325,1109100,7980
2031066,1,0.010752688,263216,7980
1842287,1,0.010752688,568831,"1536, 1668, 7412"
2000865,1,0.010676157,496963,7980
1922180,1,0.01056338,2764115,1668
1761008,1,0.010380623,2534716,7980
1920550,1,0.010309278,1421955,7980
2114974,1,0.010135135,299934,8060
1821829,1,0.010050251,299998,8060
2113839,1,0.009803922,215000,8060
2025162,1,0.009646302,348866,162Y
1947295,1,0.00955414,444665,8060
1828466,1,0.00952381,2998314,"1997, 7261"
1922270,1,0.009493671,849138,1668
2039616,1,0.009463722,335982,8060
2039606,1,0.009202454,308000,8060
2114808,1,0.009036145,299987,8060
1955062,1,0.008982036,389619,1997
2038029,1,0.008955224,3.00E+05,8060
2000388,1,0.008849558,1328108,"7645, 7980"
1760884,1,0.00877193,499996,7980
2017950,1,0.00877193,200562,7980
1922202,1,0.008474576,2324333,"1668, 8060"
1829004,1,0.008379888,3069765,"1997, 7261"
2042882,1,0.008310249,1348615,1668
1953525,1,0.008264463,1376908,"1997, 7980"
1907537,1,0.008196721,320446,8060
1922639,1,0.008086253,2999967,"1997, 7261"
1820531,1,0.008,5.00E+05,1668
1750038,1,0.007905138,2170960,1668
1934285,1,0.007692308,498907,8060
2105723,1,0.007380074,5.00E+05,1997
2125684,1,0.007371007,1999736,1997
1855925,1,0.007326007,499174,"1997, 7261"
2039354,1,0.007326007,313881,8060
2114911,1,0.006779661,299557,8060
1937738,1,0.006734007,342101,7980
2117073,1,0.006622517,492892,8060
2039605,1,0.00660066,299566,8060
2025257,1,0.006451613,228379,162Y
2039612,1,0.006410256,299923,8060
2114789,1,0.006369427,3.00E+05,8060
1954836,1,0.006349206,497799,1997
2105635,1,0.006289308,499997,1997
1761249,1,0.006134969,492531,7980
2113803,1,0.006134969,299995,8060
2105254,1,0.006116208,NA,NA
2039634,1,0.005934718,3.00E+05,8060
2041960,1,0.005665722,316000,8060
1946537,1,0.005555556,1457244,1668
1920560,1,0.004854369,1489273,7980
2125758,1,0.004750594,2999701,1997
1806664,2,0.462068966,433997,"1997, 7261"
1856346,2,0.400684932,959082,"1997, 7261"
1855925,2,0.373626374,499174,"1997, 7261"
1856394,2,0.350609756,499957,"1997, 7261"
1806908,2,0.348242812,490101,"1997, 7261"
1856302,2,0.3125,499835,"1997, 7261"
1806323,2,0.303303303,499997,"1997, 7261"
1806874,2,0.300613497,490804,"1997, 7261"
2105254,2,0.293577982,NA,NA
2105721,2,0.290726817,499749,1997
1807056,2,0.286184211,498950,"1997, 7261"
1954946,2,0.28525641,499978,1997
1806698,2,0.271232877,497820,"1997, 7261, 9150"
1855978,2,0.266666667,389708,"1997, 7261"
1806815,2,0.259375,499908,"1997, 7261"
2105635,2,0.257861635,499997,1997
1954836,2,0.257142857,497799,1997
1954923,2,0.253644315,5.00E+05,1997
1955109,2,0.25304878,5.00E+05,1997
1856189,2,0.250755287,499797,"1997, 7261"
1806904,2,0.25,440743,"1997, 7261"
1954776,2,0.249097473,512063,1997
1855841,2,0.247349823,331009,"1997, 7261"
2105251,2,0.243076923,5.00E+05,1997
1806607,2,0.236979167,598989,"1997, 7261"
