document,topic,gamma
1922658,1,0.054140127
1940221,1,0.054216867
2115025,1,0.05483871
2043095,1,0.056047198
1828822,1,0.056426332
2021628,1,0.056756757
1821766,1,0.057291667
2021871,1,0.057894737
1955109,1,0.057926829
1820640,1,0.058035714
1922551,1,0.058139535
1821666,1,0.059055118
2042416,1,0.059190031
2043302,1,0.059561129
2041970,1,0.060070671
2115028,1,0.061776062
2100355,1,0.062130178
1821822,1,0.063157895
2021791,1,0.063829787
1921813,1,0.067226891
2039610,1,0.068027211
1901733,1,0.068027211
2022040,1,0.068376068
2120888,1,0.069832402
1856394,1,0.070121951
2028397,1,0.070895522
1937490,1,0.071428571
1956114,1,0.071428571
1828149,1,0.071625344
1848789,1,0.072100313
2038483,1,0.07278481
2125677,1,0.072864322
1921576,1,0.073089701
1931800,1,0.073469388
1842074,1,0.073529412
1821780,1,0.07421875
1754054,1,0.075949367
2054920,1,0.076388889
1927550,1,0.076612903
1821841,1,0.076923077
1828288,1,0.077319588
1954978,1,0.077419355
1922004,1,0.078740157
1922398,1,0.079510703
2054968,1,0.079872204
2022023,1,0.081730769
2114680,1,0.082018927
1921840,1,0.084656085
2021585,1,0.085173502
2123024,1,0.089622642
2125703,1,0.092178771
1723734,1,0.102222222
2105726,1,0.103975535
1921485,1,0.111464968
1922512,1,0.113636364
1922591,1,0.130750605
2125528,1,0.134285714
1922761,1,0.137466307
1954946,1,0.147435897
1954967,1,0.161383285
1855978,1,0.17037037
1806904,1,0.176056338
1806593,1,0.212765957
1919326,2,0.005405405
1946557,2,0.005479452
1828149,2,0.005509642
1946537,2,0.005555556
1835309,2,0.005586592
2125606,2,0.005586592
1946650,2,0.006006006
2125940,2,0.00617284
2114660,2,0.006309148
2042700,2,0.006329114
2114936,2,0.006389776
2054968,2,0.006389776
1760884,2,0.006578947
2125924,2,0.006711409
2039610,2,0.006802721
2126059,2,0.007042254
2022036,2,0.007317073
1820685,2,0.007490637
2122416,2,0.00754717
1922072,2,0.007782101
2021693,2,0.007936508
1912474,2,0.008152174
1931800,2,0.008163265
1915780,2,0.008196721
1842678,2,0.008474576
2000750,2,0.00867052
2032292,2,0.00872093
2000388,2,0.008849558
1820640,2,0.008928571
1946599,2,0.009404389
1821794,2,0.009569378
2025162,2,0.009646302
2025257,2,0.009677419
2024584,2,0.010204082
2114981,2,0.010238908
2021871,2,0.010526316
1922649,2,0.01055409
2041970,2,0.010600707
1946553,2,0.010600707
2055062,2,0.010830325
1820573,2,0.010869565
1754092,2,0.011111111
1761251,2,0.011235955
2125510,2,0.011235955
2125906,2,0.011235955
2115028,2,0.011583012
1824258,2,0.011764706
1820531,2,0.012
1922591,2,0.012106538
2114952,2,0.012232416
1922694,2,0.012254902
2113803,2,0.012269939
1907537,2,0.012295082
1761158,2,0.012448133
1946493,2,0.012698413
1922202,2,0.012711864
1754014,2,0.012711864
2113839,2,0.013071895
2105801,2,0.013071895
2039288,2,0.013114754
2025349,2,0.013377926
2021874,2,0.013667426
1820686,2,0.01369863
1920550,2,0.013745704
2114892,2,0.013793103
2039445,2,0.01384083
2054920,2,0.013888889
1754085,2,0.014035088
1912753,2,0.014218009
2114200,2,0.014234875
2000847,2,0.014245014
1922758,2,0.014450867
2100355,2,0.014792899
2125913,2,0.015151515
1821744,2,0.015228426
2113955,2,0.015267176
1920529,2,0.01532567
2114824,2,0.015625
1819521,2,0.015748031
1954259,2,0.015873016
1947295,2,0.015923567
2022055,2,0.016216216
2114974,2,0.016891892
2025686,2,0.017045455
1951688,2,0.017045455
1760993,2,0.017123288
1854494,2,0.017167382
1844136,2,0.017241379
1922642,2,0.017291066
2017950,2,0.01754386
2125748,2,0.017632242
1723734,2,0.017777778
2113981,2,0.017857143
2114808,2,0.018072289
1828010,2,0.018276762
2039637,2,0.018461538
2043084,2,0.018518519
2028397,2,0.018656716
2021628,2,0.018918919
2114680,2,0.018927445
2038483,2,0.018987342
2021540,2,0.019230769
1949922,2,0.019305019
1956193,2,0.019417476
1828820,2,0.019444444
1921726,2,0.019480519
2125684,2,0.01965602
1750038,2,0.019762846
1926789,2,0.019762846
1946626,2,0.01984127
1921576,2,0.019933555
1846321,2,0.020114943
1901733,2,0.020408163
2021713,2,0.020527859
2104532,2,0.020618557
1914771,2,0.020746888
1934782,2,0.020833333
1821766,2,0.020833333
1926736,2,0.020895522
1922004,2,0.020997375
1921813,2,0.021008403
1922180,2,0.021126761
2028426,2,0.021604938
1937612,2,0.021978022
2039616,2,0.022082019
2021585,2,0.022082019
1922270,2,0.022151899
2042882,2,0.022160665
1921485,2,0.022292994
2042996,2,0.022304833
1919004,2,0.022321429
1822567,2,0.022321429
2039612,2,0.022435897
2048018,2,0.02247191
1946607,2,0.022580645
2125362,2,0.022613065
1821753,2,0.022624434
1753983,2,0.022624434
2041960,2,0.02266289
1828910,2,0.022727273
1753900,2,0.022875817
2029632,2,0.022988506
1934285,2,0.023076923
2117073,2,0.023178808
1922687,2,0.023316062
2043095,2,0.02359882
2015554,2,0.023648649
2114911,2,0.023728814
2011117,2,0.023904382
2125921,2,0.023952096
1940221,2,0.024096386
1841792,2,0.024137931
2000483,2,0.024464832
2125798,2,0.024523161
1761249,2,0.024539877
2000865,2,0.024911032
1828822,2,0.02507837
1820666,2,0.025316456
1903152,2,0.025316456
1828466,2,0.025396825
1937714,2,0.025454545
2100234,2,0.025559105
1821822,2,0.026315789
2039605,2,0.02640264
1946619,2,0.026666667
1920560,2,0.026699029
2039634,2,0.026706231
1903423,2,0.026717557
1821788,2,0.026737968
1828974,2,0.026809651
1922761,2,0.026954178
1821780,2,0.02734375
1922398,2,0.027522936
1821666,2,0.027559055
2125677,2,0.027638191
2112689,2,0.027874564
2025046,2,0.027918782
2125703,2,0.027932961
2021900,2,0.028328612
2126023,2,0.028340081
2032122,2,0.028481013
1821560,2,0.028708134
1922598,2,0.02905569
1914613,2,0.029220779
2100134,2,0.029239766
2039354,2,0.029304029
1842074,2,0.029411765
1820609,2,0.029661017
1937490,2,0.030075188
1821829,2,0.030150754
1828942,2,0.030640669
1941415,2,0.030674847
1828288,2,0.030927835
2043302,2,0.031347962
2021744,2,0.031531532
1753681,2,0.031545741
1921840,2,0.031746032
2114789,2,0.031847134
2024020,2,0.031948882
1828993,2,0.032258065
1943041,2,0.032520325
2115008,2,0.032608696
1842096,2,0.032894737
2123024,2,0.033018868
1953525,2,0.033057851
2126031,2,0.033112583
2043106,2,0.033613445
1931724,2,0.033613445
2125727,2,0.033846154
2022138,2,0.033950617
2100155,2,0.034267913
1761008,2,0.034602076
1937778,2,0.03539823
1922560,2,0.035714286
1922579,2,0.036065574
2037360,2,0.036585366
2043237,2,0.036697248
2043022,2,0.036923077
1922512,2,0.036931818
2022040,2,0.037037037
2100139,2,0.037542662
1922658,2,0.038216561
2125865,2,0.038356164
2039408,2,0.038461538
1828571,2,0.039039039
2037658,2,0.039215686
1937251,2,0.039393939
2031066,2,0.039426523
2043324,2,0.039426523
2125733,2,0.039634146
2039606,2,0.039877301
2125872,2,0.040669856
2041788,2,0.040740741
2022023,2,0.040865385
